item,matched_item,score
ไฟอัจฉริยะ,หลอดไฟเปลี่ยนสีได้,0.676123404
โรตี,แฟน ที่แปลว่าพัดลม,0.900102875
โรตี,เม็ดมะม่วงหิมพานต์,0.927105069
โรตี,เนื้อวากิล,0.83094897
โรตี,เนื้อย่าง,0.859124693
โรตี,เครื่องดูดฝุ่นอัตโนมัติ (robot),0.724431907
โรตี,หมอนข้าง,0.901127114
โรตี,น้ำส้มดีโด้,0.802295557
โรตี,ที่ยกน้ำหนัก (Dumbell),0.772088032
โรตี,ต้นไม้ประดับห้อง,0.831410993
โรตี,ตาชั่ง ,0.788810638
โรตี,คอลลาเจน,0.74001287
โรตี,กะหรี่(ปั๊บ),0.963925385
โรตี,Software ถูกลิขสิทธิ์,0.899735411
โรตี,Lego,0.801783726
โรตี,Board game,0.758175397
แสงโสม,แม่โขง,0.868599036
แม่โขง,แสงโสม,0.868599036
แฟน ที่แปลว่าพัดลม,โรตี,0.900102875
แฟน ที่แปลว่าพัดลม,เม็ดมะม่วงหิมพานต์,0.89597867
แฟน ที่แปลว่าพัดลม,เนื้อวากิล,0.773730576
แฟน ที่แปลว่าพัดลม,เนื้อย่าง,0.808223859
แฟน ที่แปลว่าพัดลม,เครื่องดูดฝุ่นอัตโนมัติ (robot),0.714434508
แฟน ที่แปลว่าพัดลม,หมอนข้าง,0.865180913
แฟน ที่แปลว่าพัดลม,น้ำส้มดีโด้,0.742781353
แฟน ที่แปลว่าพัดลม,ที่ยกน้ำหนัก (Dumbell),0.705650329
แฟน ที่แปลว่าพัดลม,ต้นไม้ประดับห้อง,0.808223859
แฟน ที่แปลว่าพัดลม,ตาชั่ง ,0.791154805
แฟน ที่แปลว่าพัดลม,กะหรี่(ปั๊บ),0.911013611
แฟน ที่แปลว่าพัดลม,Software ถูกลิขสิทธิ์,0.828909828
แฟน ที่แปลว่าพัดลม,Lego,0.705650329
แฟน ที่แปลว่าพัดลม,Board game,0.724431907
แผ่นเสียง,กัญชง,0.666666667
เสื้อซีทรู,ชุดนอนไม่ได้นอน,0.683763459
เม็ดมะม่วงหิมพานต์,โรตี,0.927105069
เม็ดมะม่วงหิมพานต์,แฟน ที่แปลว่าพัดลม,0.89597867
เม็ดมะม่วงหิมพานต์,เนื้อวากิล,0.822108307
เม็ดมะม่วงหิมพานต์,เนื้อย่าง,0.851942751
เม็ดมะม่วงหิมพานต์,เครื่องดูดฝุ่นอัตโนมัติ (robot),0.710046947
เม็ดมะม่วงหิมพานต์,หมอนสุขภาพสำหรับคนนอนไม่หลับ,0.651920241
เม็ดมะม่วงหิมพานต์,หมอนข้าง,0.923380517
เม็ดมะม่วงหิมพานต์,มะม่วงเบา,0.651920241
เม็ดมะม่วงหิมพานต์,น้ำส้มดีโด้,0.763386285
เม็ดมะม่วงหิมพานต์,ที่ยกน้ำหนัก (Dumbell),0.760725774
เม็ดมะม่วงหิมพานต์,ต้นไม้ประดับห้อง,0.851942751
เม็ดมะม่วงหิมพานต์,ตาชั่ง ,0.779422863
เม็ดมะม่วงหิมพานต์,คอลลาเจน,0.692349497
เม็ดมะม่วงหิมพานต์,กะหรี่(ปั๊บ),0.938343117
เม็ดมะม่วงหิมพานต์,Software ถูกลิขสิทธิ์,0.813489217
เม็ดมะม่วงหิมพานต์,Lego,0.760725774
เม็ดมะม่วงหิมพานต์,Board game,0.717137166
เนื้อวากิล,โรตี,0.83094897
เนื้อวากิล,แฟน ที่แปลว่าพัดลม,0.773730576
เนื้อวากิล,เม็ดมะม่วงหิมพานต์,0.822108307
เนื้อวากิล,เนื้อย่าง,0.933852284
เนื้อวากิล,หมอนข้าง,0.783217803
เนื้อวากิล,ที่ยกน้ำหนัก (Dumbell),0.679004605
เนื้อวากิล,ต้นไม้ประดับห้อง,0.733741081
เนื้อวากิล,ตาชั่ง ,0.711966679
เนื้อวากิล,กะหรี่(ปั๊บ),0.812020707
เนื้อวากิล,Software ถูกลิขสิทธิ์,0.796162194
เนื้อวากิล,Lego,0.71474169
เนื้อย่าง,โรตี,0.859124693
เนื้อย่าง,แฟน ที่แปลว่าพัดลม,0.808223859
เนื้อย่าง,เม็ดมะม่วงหิมพานต์,0.851942751
เนื้อย่าง,เนื้อวากิล,0.933852284
เนื้อย่าง,หมอนข้าง,0.815803165
เนื้อย่าง,ที่ยกน้ำหนัก (Dumbell),0.656736073
เนื้อย่าง,ต้นไม้ประดับห้อง,0.774193548
เนื้อย่าง,ตาชั่ง ,0.754199711
เนื้อย่าง,กะหรี่(ปั๊บ),0.84148907
เนื้อย่าง,กรรไกรตัดขนจมูก,0.653410263
เนื้อย่าง,Software ถูกลิขสิทธิ์,0.800853435
เนื้อย่าง,Lego,0.760431243
เครื่องย่อยเศษอาหาร,อาหารแมวคลีนเพื่อสุขภาพลดหุ่น,0.816496581
เครื่องดูดฝุ่นอัตโนมัติ (robot),โรตี,0.724431907
เครื่องดูดฝุ่นอัตโนมัติ (robot),แฟน ที่แปลว่าพัดลม,0.714434508
เครื่องดูดฝุ่นอัตโนมัติ (robot),เม็ดมะม่วงหิมพานต์,0.710046947
เครื่องดูดฝุ่นอัตโนมัติ (robot),หมอนข้าง,0.728492796
เครื่องดูดฝุ่นอัตโนมัติ (robot),ที่ยกน้ำหนัก (Dumbell),0.667823071
เครื่องดูดฝุ่นอัตโนมัติ (robot),ต้นไม้ประดับห้อง,0.696573796
เครื่องดูดฝุ่นอัตโนมัติ (robot),ตาชั่ง ,0.670820393
เครื่องดูดฝุ่นอัตโนมัติ (robot),กะหรี่(ปั๊บ),0.701334384
เครื่องดูดฝุ่นอัตโนมัติ (robot),Lego,0.707106781
อาหารแมวคลีนเพื่อสุขภาพลดหุ่น,เครื่องย่อยเศษอาหาร,0.816496581
อาหารแมวคลีนเพื่อสุขภาพลดหุ่น,ห้องน้ำแมวอัตโนมัติ,0.666666667
ห้องน้ำแมวอัตโนมัติ,อาหารแมวคลีนเพื่อสุขภาพลดหุ่น,0.666666667
หลอดไฟเปลี่ยนสีได้,ไฟอัจฉริยะ,0.676123404
หมอนสุขภาพสำหรับคนนอนไม่หลับ,เม็ดมะม่วงหิมพานต์,0.651920241
หมอนสุขภาพสำหรับคนนอนไม่หลับ,ที่ยกน้ำหนัก (Dumbell),0.653464039
หมอนข้าง,โรตี,0.901127114
หมอนข้าง,แฟน ที่แปลว่าพัดลม,0.865180913
หมอนข้าง,เม็ดมะม่วงหิมพานต์,0.923380517
หมอนข้าง,เนื้อวากิล,0.783217803
หมอนข้าง,เนื้อย่าง,0.815803165
หมอนข้าง,เครื่องดูดฝุ่นอัตโนมัติ (robot),0.728492796
หมอนข้าง,น้ำส้มดีโด้,0.692846518
หมอนข้าง,ที่ยกน้ำหนัก (Dumbell),0.780488176
หมอนข้าง,ต้นไม้ประดับห้อง,0.815803165
หมอนข้าง,ตาชั่ง ,0.799670985
หมอนข้าง,กะหรี่(ปั๊บ),0.886715536
หมอนข้าง,Software ถูกลิขสิทธิ์,0.806801582
หมอนข้าง,Lego,0.780488176
หมอนข้าง,Board game,0.674453273
มะม่วงเบา,เม็ดมะม่วงหิมพานต์,0.651920241
มะม่วงเบา,ที่ยกน้ำหนัก (Dumbell),0.653464039
น้ำส้มดีโด้,โรตี,0.802295557
น้ำส้มดีโด้,แฟน ที่แปลว่าพัดลม,0.742781353
น้ำส้มดีโด้,เม็ดมะม่วงหิมพานต์,0.763386285
น้ำส้มดีโด้,หมอนข้าง,0.692846518
น้ำส้มดีโด้,คอลลาเจน,0.658242629
น้ำส้มดีโด้,กะหรี่(ปั๊บ),0.841021446
น้ำส้มดีโด้,Software ถูกลิขสิทธิ์,0.732469219
น้ำส้มดีโด้,Board game,0.736955527
น้องหมา,ชุดน้องหมา,0.816496581
ที่ยกน้ำหนัก (Dumbell),โรตี,0.772088032
ที่ยกน้ำหนัก (Dumbell),แฟน ที่แปลว่าพัดลม,0.705650329
ที่ยกน้ำหนัก (Dumbell),เม็ดมะม่วงหิมพานต์,0.760725774
ที่ยกน้ำหนัก (Dumbell),เนื้อวากิล,0.679004605
ที่ยกน้ำหนัก (Dumbell),เนื้อย่าง,0.656736073
ที่ยกน้ำหนัก (Dumbell),เครื่องดูดฝุ่นอัตโนมัติ (robot),0.667823071
ที่ยกน้ำหนัก (Dumbell),หมอนสุขภาพสำหรับคนนอนไม่หลับ,0.653464039
ที่ยกน้ำหนัก (Dumbell),หมอนข้าง,0.780488176
ที่ยกน้ำหนัก (Dumbell),มะม่วงเบา,0.653464039
ที่ยกน้ำหนัก (Dumbell),ต้นไม้ประดับห้อง,0.725866186
ที่ยกน้ำหนัก (Dumbell),จักรยานเสือภูเขา,0.673575314
ที่ยกน้ำหนัก (Dumbell),คอลลาเจน,0.682186501
ที่ยกน้ำหนัก (Dumbell),กะหรี่(ปั๊บ),0.721335708
ที่ยกน้ำหนัก (Dumbell),Software ถูกลิขสิทธิ์,0.726108198
ต้นไม้ประดับห้อง,โรตี,0.831410993
ต้นไม้ประดับห้อง,แฟน ที่แปลว่าพัดลม,0.808223859
ต้นไม้ประดับห้อง,เม็ดมะม่วงหิมพานต์,0.851942751
ต้นไม้ประดับห้อง,เนื้อวากิล,0.733741081
ต้นไม้ประดับห้อง,เนื้อย่าง,0.774193548
ต้นไม้ประดับห้อง,เครื่องดูดฝุ่นอัตโนมัติ (robot),0.696573796
ต้นไม้ประดับห้อง,หมอนข้าง,0.815803165
ต้นไม้ประดับห้อง,ที่ยกน้ำหนัก (Dumbell),0.725866186
ต้นไม้ประดับห้อง,ตาชั่ง ,0.754199711
ต้นไม้ประดับห้อง,กะหรี่(ปั๊บ),0.813439435
ต้นไม้ประดับห้อง,Software ถูกลิขสิทธิ์,0.739249324
ต้นไม้ประดับห้อง,Lego,0.794996299
ต้นไม้ประดับห้อง,Board game,0.712786445
ตาชั่ง ,โรตี,0.788810638
ตาชั่ง ,แฟน ที่แปลว่าพัดลม,0.791154805
ตาชั่ง ,เม็ดมะม่วงหิมพานต์,0.779422863
ตาชั่ง ,เนื้อวากิล,0.711966679
ตาชั่ง ,เนื้อย่าง,0.754199711
ตาชั่ง ,เครื่องดูดฝุ่นอัตโนมัติ (robot),0.670820393
ตาชั่ง ,หมอนข้าง,0.799670985
ตาชั่ง ,ต้นไม้ประดับห้อง,0.754199711
ตาชั่ง ,กะหรี่(ปั๊บ),0.798372328
ตาชั่ง ,Software ถูกลิขสิทธิ์,0.751469149
ตาชั่ง ,Lego,0.737864787
ตาชั่ง ,Board game,0.724568837
ชุดน้องหมา,น้องหมา,0.816496581
ชุดนอนไม่ได้นอน,เสื้อซีทรู,0.683763459
จักรยานเสือภูเขา,ที่ยกน้ำหนัก (Dumbell),0.673575314
คอลลาเจน,โรตี,0.74001287
คอลลาเจน,เม็ดมะม่วงหิมพานต์,0.692349497
คอลลาเจน,น้ำส้มดีโด้,0.658242629
คอลลาเจน,ที่ยกน้ำหนัก (Dumbell),0.682186501
คอลลาเจน,กะหรี่(ปั๊บ),0.71641857
คอลลาเจน,Software ถูกลิขสิทธิ์,0.679438613
คอลลาเจน,Lego,0.682186501
คอร์สโบท็อกกราม,Botox,0.745355992
กัญชง,แผ่นเสียง,0.666666667
กัญชง,Brownie อวกาศ,0.670820393
กะหรี่(ปั๊บ),โรตี,0.963925385
กะหรี่(ปั๊บ),แฟน ที่แปลว่าพัดลม,0.911013611
กะหรี่(ปั๊บ),เม็ดมะม่วงหิมพานต์,0.938343117
กะหรี่(ปั๊บ),เนื้อวากิล,0.812020707
กะหรี่(ปั๊บ),เนื้อย่าง,0.84148907
กะหรี่(ปั๊บ),เครื่องดูดฝุ่นอัตโนมัติ (robot),0.701334384
กะหรี่(ปั๊บ),หมอนข้าง,0.886715536
กะหรี่(ปั๊บ),น้ำส้มดีโด้,0.841021446
กะหรี่(ปั๊บ),ที่ยกน้ำหนัก (Dumbell),0.721335708
กะหรี่(ปั๊บ),ต้นไม้ประดับห้อง,0.813439435
กะหรี่(ปั๊บ),ตาชั่ง ,0.798372328
กะหรี่(ปั๊บ),คอลลาเจน,0.71641857
กะหรี่(ปั๊บ),Software ถูกลิขสิทธิ์,0.857074534
กะหรี่(ปั๊บ),Lego,0.781447017
กะหรี่(ปั๊บ),Board game,0.767365737
กรรไกรตัดขนจมูก,เนื้อย่าง,0.653410263
Software ถูกลิขสิทธิ์,โรตี,0.899735411
Software ถูกลิขสิทธิ์,แฟน ที่แปลว่าพัดลม,0.828909828
Software ถูกลิขสิทธิ์,เม็ดมะม่วงหิมพานต์,0.813489217
Software ถูกลิขสิทธิ์,เนื้อวากิล,0.796162194
Software ถูกลิขสิทธิ์,เนื้อย่าง,0.800853435
Software ถูกลิขสิทธิ์,หมอนข้าง,0.806801582
Software ถูกลิขสิทธิ์,น้ำส้มดีโด้,0.732469219
Software ถูกลิขสิทธิ์,ที่ยกน้ำหนัก (Dumbell),0.726108198
Software ถูกลิขสิทธิ์,ต้นไม้ประดับห้อง,0.739249324
Software ถูกลิขสิทธิ์,ตาชั่ง ,0.751469149
Software ถูกลิขสิทธิ์,คอลลาเจน,0.679438613
Software ถูกลิขสิทธิ์,กะหรี่(ปั๊บ),0.857074534
Software ถูกลิขสิทธิ์,Lego,0.69310328
Software ถูกลิขสิทธิ์,Board game,0.745434282
Lego,โรตี,0.801783726
Lego,แฟน ที่แปลว่าพัดลม,0.705650329
Lego,เม็ดมะม่วงหิมพานต์,0.760725774
Lego,เนื้อวากิล,0.71474169
Lego,เนื้อย่าง,0.760431243
Lego,เครื่องดูดฝุ่นอัตโนมัติ (robot),0.707106781
Lego,หมอนข้าง,0.780488176
Lego,ต้นไม้ประดับห้อง,0.794996299
Lego,ตาชั่ง ,0.737864787
Lego,คอลลาเจน,0.682186501
Lego,กะหรี่(ปั๊บ),0.781447017
Lego,Software ถูกลิขสิทธิ์,0.69310328
Lego,Board game,0.654653671
Brownie อวกาศ,กัญชง,0.670820393
Botox,คอร์สโบท็อกกราม,0.745355992
Board game,โรตี,0.758175397
Board game,แฟน ที่แปลว่าพัดลม,0.724431907
Board game,เม็ดมะม่วงหิมพานต์,0.717137166
Board game,หมอนข้าง,0.674453273
Board game,น้ำส้มดีโด้,0.736955527
Board game,ต้นไม้ประดับห้อง,0.712786445
Board game,ตาชั่ง ,0.724568837
Board game,กะหรี่(ปั๊บ),0.767365737
Board game,Software ถูกลิขสิทธิ์,0.745434282
Board game,Lego,0.654653671
